input,label
#미국판매1위 #바니크림 진짜 넘좋네요,"[0, 0, 1, 0, 0]"
예쁜민트색이에요ㅎㅎ,"[0, 1, 0, 0, 0]"
얼루어 품평단 100 인의 품평결과 편리함과 사용감 만족도 98%나왔다는 #필인셀 😄,"[1, 0, 0, 0, 0]"
왜 입소문나는지 알거같앙,"[0, 0, 1, 0, 0]"
아기변기가 이래 이쁠수가 있네요😍,"[0, 1, 0, 0, 0]"
배변훈련때문에 아기변기로만 사용해봤지 이렇게 훌륭한 유아의자로도 쓸수있는 #아기변기 가 있었네요!!,"[1, 0, 0, 0, 0]"
곡선형 변기뚜껑은 유아의자로도 바꿔주고 부드러운 시트는 폭신폭신해서 엉덩이살이 닿아도 차갑지가 않아요~,"[0, 1, 0, 0, 0]"
베베누보 신상품 침낭형 낮잠이불로 요즘 재워보고 있는데 패드가 우선 도톰하고 일체형또는 분리할수있어 편합니다!,"[1, 0, 0, 0, 0]"
침낭형 낮잠이불 인디핑크 디자인으로 선택했는데 넘 이뻐서 추천해요😊,"[0, 1, 0, 0, 0]"
하루 한장씩 뜯어 사용후 바로 버리기 때문에 간편하기도 하고 주방도 청결해지죠~,"[1, 0, 0, 0, 0]"
이젠 주방에서도 편하게 설거지하자구요~,"[1, 0, 0, 0, 0]"
사은품으로 받은 에코백도 넘 예쁘네요😚,"[0, 1, 0, 0, 0]"
바람세기는 4단으로 되어있고 어디서든 거치할수있는 거치대도 있지만 휴대할때는 굳이 안가지고 다녀요~,"[1, 0, 0, 0, 0]"
USB 충전기로 언제 어디서든 손쉽게 충전이 가능하니까 편하네요~,"[1, 0, 0, 0, 0]"
범퍼침대가 밋밋하니 아쉬웠던 부분이 블링블링한 모기장과 보태니컬 가랜드로 같이 연출해봤는데 분위기 대박!!!,"[0, 1, 0, 0, 0]"
출입이 자유로운 지퍼디자인 덕분에 &name&가 답답해하지 않구 좋아하네요.,"[1, 0, 0, 0, 0]"
양쪽 출입문에 고정고리가 있어서 아이가 잠들기전까지 열어두면 짜증내지도 않고 활동하기도 편합니다~,"[1, 0, 0, 0, 0]"
그냥 모기장만 설치했을때도 예뻤지만 보태니컬 가랜드랑 같이 해놓으니 더 만족도 UP,"[0, 1, 0, 0, 0]"
친숙한 캐릭터라 &name&가 좋아하구 다용도 끈이 있어 어디든 걸수있다는 장점!,"[0, 1, 0, 0, 0]"
벨크로 부착방식이라 완전 편해요~,"[1, 0, 0, 0, 0]"
#역시 넘 예쁜 #실내복,"[0, 1, 0, 0, 0]"
무냐무냐기자단2기 두번째 상품이 도착했는데 완전 이쁨니다!,"[0, 1, 0, 0, 0]"
디자인도 &name&한테 잘어울려서 올여름내내 입히겠어요!,"[0, 1, 0, 0, 0]"
사이즈가 넉넉하게 나와서 오래입힐수 있어서 좋아요!!,"[0, 1, 0, 0, 0]"
오늘 도착했길래 바로 개봉해보니 크기 완전 대박만족!!ㅋㅋ,"[0, 1, 0, 0, 0]"
디자인까지 너무 맘에 들어요😁,"[0, 1, 0, 0, 0]"
&name&와 함께하는 #나들이 에는 #보냉백 과 #쇼퍼백 을 한번에 해결되는 마들린 더블 #보온보냉백,"[1, 0, 0, 0, 0]"
#멀티스트라이프 패턴 굿!!!👍,"[0, 1, 0, 0, 0]"
글자체도 심플해서 맘에 들구요.,"[0, 1, 0, 0, 0]"
아이가 좋아하는 동물이나 과일도 있어서 더욱 만족스러웠네요.,"[0, 1, 0, 0, 0]"
너무너무 귀여워요😍,"[0, 1, 0, 0, 0]"
무거운 #디럭스유모차 끌고다니다가 이렇게 조작하기쉬운 #유모차 라니😆,"[1, 0, 0, 0, 0]"
휴대용유모차가 이리 편할줄은ㅎㅎ,"[1, 0, 0, 0, 0]"
소재자체가 좋구 너무 편한 #릴헤븐내의 #넘나좋은것,"[1, 0, 0, 0, 0]"
다용도로 쓸수있어 좋네요ㅋㅋㅋ,"[1, 0, 0, 0, 0]"
15g으로 가볍고 소형사이즈라 어디서나 휴대해서 사용할수 있어요!,"[0, 1, 0, 0, 0]"
패키지도 어쩜이리 이쁘게 나왔는지 사용할때마다 기분이 좋아져요~,"[0, 1, 0, 0, 0]"
제가 생각했던것보다 더 이뻐요😍,"[0, 1, 0, 0, 0]"
부드럽고 시원한 원단도 좋고 예쁘고 귀여운 그래픽이 특징이에요~,"[0, 1, 0, 0, 0]"
신지모루 오그랩 전동 차량용 무선충전 거치대를 사용하고 있는데 지금까지의 거치대랑은 차원이 다르고 정말 편리해서 좋네요~,"[1, 0, 0, 0, 0]"
손쉬운 잠금해제버튼으로 살짝 눌러주면 탈거도 빨라요!,"[1, 0, 0, 0, 0]"
덕분에 차안에서 편하게 사용하겠어요~,"[1, 0, 0, 0, 0]"
기존에 #잡티세럼 사용해봤는데 효과가 좋아서 더 강력하게 출시된 잡티세럼 Ⅱ 한정기획 상품을 써보는데 패키지조차 너무 이쁘죠?,"[0, 1, 0, 0, 0]"
더 예뻐진 핑크빛 용기도 그렇고 산뜻하고 부드러운 텍스쳐는 단연최고!,"[0, 1, 0, 0, 0]"
완전 편하고 좋아요❤,"[1, 0, 0, 0, 0]"
착용에서 브라티 착용으로 편리하고 옷입기도 쉬워용😁,"[1, 0, 0, 0, 0]"
실내외 어디서든 장소에 상관없이 간편하게 착용가능한 #숨바꼭티,"[1, 0, 0, 0, 0]"
적당한 볼륨으로 자연스런 느낌에 박시한 디자인이라 감쪽같아요ㅋㅋ,"[0, 1, 0, 0, 0]"
일상생활에서 편하게 입을수있는 슬림9,"[1, 0, 0, 0, 0]"
#비치가운 넘 귀여워요❤,"[0, 1, 0, 0, 0]"
#아론샵 #미용실트리트먼트 요게바로 #연예인머릿결의비밀,"[0, 0, 1, 0, 0]"
클렌징과 각질제거 동시 가능하니까 특별히 스크럽을 따로 안해도 되서 관리하기도 편하네요ㅎㅎ,"[1, 0, 0, 0, 0]"
퀄리티 대박이고 너무너무 이뽀여😘,"[0, 1, 0, 0, 0]"
노랑저고리 + 핑크치마 탁월한 선택!,"[0, 1, 0, 0, 0]"
진심 이뽀여ㅋㅋ,"[0, 1, 0, 0, 0]"
그래서 싱크대거름망도 음식물쓰레기봉투도 그대로 버릴 수 있어 간편해서 더 좋은🙆,"[1, 0, 0, 0, 0]"
"기존에 사용하던 #싱크대거름망 은 조금만 사용해도 음쓰로 꽉 막혀서 배수가 잘안되 늘 불편했는데 #마이스싱크대거름망 은 1,032개의 구멍이 뚫려있다더니 막힘없이 쑥쑥 내려가니 넘 좋더라요🤩","[1, 0, 0, 0, 0]"
트렌드위드미에서 &name&가 사용해 인싸템이 되어버린 #톤업썬크림,"[0, 0, 1, 0, 0]"
"스킨 기능은 기본 보습, 톤 보정, 자외선차단, 피부톤 보정까지 한번에 가능하니 여행갈때도 요고 하나면 충분^^","[1, 0, 0, 0, 0]"
훈남들의 필수템 #가와사키m3 사용해 보았어요.^^,"[0, 0, 1, 0, 0]"
조작법도 간단하고 제품 케이스도 심플하니 좋더라구요.,"[1, 1, 0, 0, 0]"
"제품을 보게되면 쉽게 사용할 수가 있는데요,","[1, 0, 0, 0, 0]"
전면이 방수처리되어 흐르는 물에서도 세척이 가능해요^^,"[1, 0, 0, 0, 0]"
가끔 저는 가위로 정리했는데 빌려서 사용해 봤더니 너무 편하고 좋더라구요.,"[1, 0, 0, 0, 0]"
이쁘죠??😁😀,"[0, 1, 0, 0, 0]"
"그립감이나 핏이 좋구요,","[0, 1, 0, 0, 0]"
이쁜거 같이 써봐용^^,"[0, 1, 0, 0, 0]"
제이준 워터멜론 하이드로 선쿠션 일반쿠션용기보다 크기가 커서 더 맘에 들어요.,"[0, 1, 0, 0, 0]"
핑크빛 코랄 케이스로 봄봄한 컬러도 이쁘죠?^^,"[0, 1, 0, 0, 0]"
"펌프도 물방울 모양으로 꼼꼼하게 바를 수 있고, 시원한 쿨링감도 있더라구요.","[0, 1, 0, 0, 0]"
여러가지를 사용해 보다가 얼마전에 대량으로 구매했는데 가격도 저렴하고 괜찮더라구요.^^,"[0, 0, 0, 1, 0]"
&name&향수로도 유명한 일본 향수 브랜드^^,"[0, 0, 1, 0, 0]"
베이스가 머스크라 언제든 뿌릴 수 있고 케이스도 아담하니 이쁘고 선물로도 좋을 것 같음.,"[0, 1, 0, 0, 0]"
게다가 고급스러운 무광 블랙 메탈 소재의 미드나잇 컬러와 노크온 매직 스페이스는 저희집 주방을 품격있고 고급스럽게 바꿔주는데 큰 역할을 담당했다는~!,"[0, 1, 0, 0, 0]"
요즘 핫하다길래 사용해봤는데 요즘 붉은 반점 도돌도돌 올라온거에 효과 좀 있는듯~,"[0, 0, 1, 0, 0]"
집에서 제모를 좀 더 효과적으로 하기 위해 가정에서 사용가능한 #IPL제모의료기기 는 고급스럽고 제모 역할도 충실히 해줍니다.,"[0, 1, 0, 0, 0]"
"평소 면도기로는 관리하기 힘들었던 부드럽고 매끈한 피부, 이제 집에서 #제모의료기기 활용해 쉽게 관리할 수 있어 장점이 정말 많은 제품 이에요","[1, 0, 0, 0, 0]"
오늘은 우선 디자인이 어떻게 잘 빠졌는지 보여드립니다^^,"[0, 1, 0, 0, 0]"
평소 사용하던 #비야비야물티슈 가 넘나 예쁘게 리뉴얼 되었더라고요~,"[0, 1, 0, 0, 0]"
기존 패키지도 예뻤는데 이번에 바뀐 패키지는 뭔가 더 순수해보이고 사랑스러워보이는 느낌~!,"[0, 1, 0, 0, 0]"
#인테리어 효과도 굿👍👍,"[0, 1, 0, 0, 0]"
이 카메라 살때 누가 여친 사줬는데 너무 무겁다고 일주일만에 다시 판다고 글 올린거 보고 얼마나 무겁겠나 했는데 진짜 아령들고 다니는 느낌...,"[1, 0, 0, 0, 0]"
미러리스 맞나..,"[1, 0, 0, 0, 0]"
SNS대란인 로지사틴크림 사용중이에요❣️,"[0, 0, 1, 0, 0]"
인체공학적 C형 손잡이 설계로 그립감도 좋고 한손으로 밀기도 넘나 좋아요,"[0, 1, 0, 0, 0]"
앞뒤 슬라이드 방식으로 물기제거와 물걸레청소를 동시에 해주니 굿 무선이라 이방 저방 옮겨다니면서 청소하기도 좋아요❣️,"[1, 1, 0, 0, 0]"
디자인도 예쁘고 뚜껑은 &name&가 갖고 놀기도 하는중😆,"[0, 1, 0, 0, 0]"
거울이든 벽이든 원하는 위치 어디나 사용가능한 센스있는 #칫솔살균기,"[1, 0, 0, 0, 0]"
램프교체 필요없는 UV LED 살균램프,"[1, 0, 0, 0, 0]"
활동적인 &name&에게 편하게 입힐수있어 좋으다😍,"[1, 0, 0, 0, 0]"
운동마치고 깔끔하게 정리가 돼서 휴대도 좋고 보관하기도 넘 좋아요🎵,"[1, 0, 0, 0, 0]"
평상시에 매기도 넘 예쁘고 대만족,"[0, 1, 0, 0, 0]"
저렴이 메블릭퍼퓸,"[0, 0, 0, 1, 0]"
간식그릇으로도 활용😆,"[1, 0, 0, 0, 0]"
&name& 애정템이라 참 좋아해서 엄마도 덕분에 편하게 외식해요,"[0, 0, 1, 0, 0]"
귀여운사과그래플토이,"[0, 1, 0, 0, 0]"
삶기 얼리기 전자렌지 사용도 되는 #트라이탄오보틀텀블러,"[1, 0, 0, 0, 0]"
젖병소재 트라이탄이라 뜨거운물 차가운물 전부 담을수 있어요💕,"[1, 0, 0, 0, 0]"
&other& &name&도 반한 텀블러,"[0, 0, 1, 0, 0]"
2가지 텀블러를 컬러믹스매치 체인지하면 센스있는 커플텀블러 완성💕,"[0, 0, 0, 0, 1]"
셀프디자인으로 원하는 멘트를 프린팅 세상 하나뿐인 나만의 텀블러를 만들 수도 있어요,"[0, 1, 0, 0, 0]"
수작업의 빗살라인이 넘 고급스럽고 파스텔톤의 컬러감 진짜 대 - 박 !,"[0, 1, 0, 0, 0]"
한식에 쓰임 좋은 4인 세트라 더 좋은 !!!,"[1, 0, 0, 0, 0]"
휴대가 좋은 작은 사이즈라 좋은 토일렛퍼퓸 뒷사람을 위한 작은 배려 #시크릿푸,"[1, 0, 0, 0, 0]"
전용 받침대의 경사면으로 물빠짐과 위생적인 관리가 가능해 이점도 참 좋네요^^,"[0, 1, 0, 0, 0]"
요 세가지 제품 아주 유용하게 사용하고 있어요.,"[1, 0, 0, 0, 0]"
편안한 기저귀 덕분인지 병원에서도 까불던 너,"[1, 0, 0, 0, 0]"
그동안 가지고 다녔던 휴대용선풍기보다 사이즈가 작아 주머니에도 쏙 들어가고 작은 핸드백에도 넣어 다니기 편해요.,"[1, 0, 0, 0, 0]"
디자인도 참 예쁘죠??,"[0, 1, 0, 0, 0]"
#아이캔디레인보우볼륨S컴팩트브러쉬 슬림한사이즈로 휴대하기 좋아서 여행갈때 파우치에 쏙 넣어가기 좋아요.,"[1, 0, 0, 0, 0]"
디자인도 예뻐서 #인테리어소품 활용까지 제 몫 톡톡히 해내니 예뻐 죽겠네요:),"[0, 1, 0, 0, 0]"
물이 닿아도 변하지 않는 방수 재질에 잘잘한 물건 따로 보관할 수 있는 지퍼도 있고 다양한 컬러의 어깨끈으로 스타일까지 살릴 수 있는 예쁜 비치백이랍니다.,"[0, 1, 0, 0, 1]"
사이즈가 큼직해서 쇼핑할때나 해외여행시에도 유용하게 사용할 수 있을 것 같아요.,"[1, 0, 0, 0, 0]"
주 1회 사용으로 간편하게 케어할 수 있는 #마스크팩추천,"[1, 0, 0, 0, 0]"
고속모터에 10단계 속도조절로 사용하기 정말 쉽고 편해요~,"[1, 0, 0, 0, 0]"
아이들이 좋아하는 #핑크퐁 캐릭터가 자꾸 손씻고싶게 만들어요~,"[0, 1, 0, 0, 0]"
울 &name&의 활동성을 높여주는 편안한 팬티기저귀,"[1, 0, 0, 0, 0]"
부드럽고 흡수력 좋고 허리밴드가 쫀쫀하니 잘 늘어나니 진심 편한게 느껴지나봐요~,"[1, 0, 0, 0, 0]"
세계적으로 사랑받는 이유를 충분히 느낄 수 있는 #아이기저귀,"[0, 0, 1, 0, 0]"
내가 좋아하는 민트색이라 선택했는데 곰그림은 좀 별로..,"[0, 1, 0, 0, 0]"
얇고 가벼워서 휴대성은 최고👍,"[1, 0, 0, 0, 0]"
깔끔한 디자인으로 어디에 둬도 잘 어루러져 참 괜찮네요~^^,"[0, 1, 0, 0, 0]"
짱짱하게 잘 묶이고 예쁨!!,"[0, 1, 0, 0, 0]"
수명이 다 한 헤드는 개별적으로 따로 구매 가능하니 경제적이기까지..,"[0, 0, 0, 1, 0]"
손에 끼고 흔들흔들하면 비누방울 크기별로 막 날리니 예쁘기도 하고..기분 좋음..😆,"[0, 1, 0, 0, 0]"
역시 #믿고쓰는몽디에스 아니겠어??,"[0, 0, 1, 0, 0]"
전성분공개로 안전한 치약이라 #임산부치약 으로도 유명하다네~,"[0, 0, 1, 0, 0]"
코베 베이비페어 유아스킨케어 부문 매출 1위 달성 한 #몽디에스 대단해요~🖒,"[0, 0, 1, 0, 0]"
처음엔 좀 불편하게 느껴지는데 익숙해지니까 괜찮네요??,"[1, 0, 0, 0, 0]"
이제 편해요!!,"[1, 0, 0, 0, 0]"
자고나면 어깨와 목이 풀린 느낌이고.. 시원하달까..개운해요^^,"[1, 0, 0, 0, 0]"
용기리필을 간편하게 교체할 수 있는 홀더형 디자인으로 리필교체가 엄청 간단해 오래오래 함께 할 수 있는 #비움,"[1, 0, 0, 0, 0]"
깨끗한 화이트 컬러에 모던한 디자인으로 #주방인테리어 에 한 몫 하는 #예쁜주방세제,"[0, 1, 0, 0, 0]"
#AHC내추럴퍼펙션선스틱 투명한 스틱형이라 부담없이 덧바를 수 있고 가볍고 순한느낌이 참 좋아요~,"[0, 1, 0, 0, 0]"
리모컨이 같이 있어 멀리서도 조절할 수 있어 편하고요.,"[1, 0, 0, 0, 0]"
예쁜 별에 담은 하트가 뽀인트~~♡,"[0, 1, 0, 0, 0]"
민망하지 않고 편해요^^,"[1, 0, 0, 0, 0]"
무게까지 가벼워졌어요!!,"[1, 0, 0, 0, 0]"
측정값을 100개까지 기록할 수 있어 관리하기도 쉽답니다^^,"[1, 0, 0, 0, 0]"
휴대하기 좋은 사이즈인 #미니고데기,"[1, 0, 0, 0, 0]"
휴대하기도 딱 좋은 사이즈로 파우치에 쏙~,"[1, 0, 0, 0, 0]"
한 번 사용하면 14일간 지속 가성비 갑 #댕기머리 헤어캡,"[0, 0, 0, 1, 0]"
아이들이 좋아하는 #프리파라 캐릭터로 아이들 취향저격!!,"[0, 1, 0, 0, 0]"
어쩜 하나하나 이렇게 예쁜지요~,"[0, 1, 0, 0, 0]"
매일 귀걸이 바꿔가며 외출하는 즐거움 대박!!,"[0, 0, 0, 0, 1]"
여러뻔 빨아써서 경제적이고 매일 바꿔쓰니 위생적이고~👏👏,"[0, 0, 0, 1, 0]"
케이스도 넘 귀엽고 예뻐서 외출시 휴대용으로도 굿~!!,"[0, 1, 0, 0, 0]"
식탁 위의 분위기를 밝고 예쁘게 해주는 #북유럽풍식기,"[0, 1, 0, 0, 0]"
고급스러운 #골드마블 접시를 구입했어요.,"[0, 1, 0, 0, 0]"
식기가 예쁘니 #홈카페 분위기 오지고~,"[0, 1, 0, 0, 0]"
#각질제거 매번 귀찮은데 #닦토 로 편하게 사용할 수 있는 #가지데일리bha토너,"[1, 0, 0, 0, 0]"
연예인 &name&가 추천할 만큼 믿을 수 있는 쿠션이에용,"[0, 0, 1, 0, 0]"
일단 커서 좋당 ㅎㅎㅎ,"[0, 1, 0, 0, 0]"
#화병 너무 귀여움,"[0, 1, 0, 0, 0]"
사진에는 안찍혔지만 틴케이스도 이쁜 게임^^,"[0, 1, 0, 0, 0]"
요즘 핫한 #겨울수분크림으로 인기몰이 중이라는데 저만 늦게 알았지모에요,"[0, 0, 1, 0, 0]"
릴리유 물티슈 오픈하자마자 핑크핑크에 괜시리 기분좋아지네요,"[0, 1, 0, 0, 0]"
물티슈에 나뭇잎모양을 보고 하나하나에 신경쓴게 보이는느낌,"[0, 1, 0, 0, 0]"
아침에 일어나자마자 물티슈처럼 뽑아서 사용하는 #SOS마스크팩 을 60초만 올려두는데 넘 간편하고 좋아요,"[1, 0, 0, 0, 0]"
개별 포장되어있는 팩은 여행갈때 챙겨다니기 딱!!!,"[1, 0, 0, 0, 0]"
맘에드는 핑쿠핑쿠,"[0, 1, 0, 0, 0]"
역시 입소문 난 이유가 있었네요^^,"[0, 0, 1, 0, 0]"
8가지 시리즈라 기분에 따라 골라 사용할수 있으며 두가지 조합하면 또다른 향으로 사용이 가능하니 완전 마음에 들어 추천합니다^^,"[0, 0, 0, 0, 1]"
친환경적이고 반영구적이라 화학적인 성분 걱정없이 경제적으로 사용할 수 있어 자기 몸을 소중히 여기는 여성들에게 각광을 받고 있는데요,"[0, 0, 0, 1, 0]"
"전 캐나다에서 만든 세계판매 1위 제품인 #디바컵 을 직구해서 사용하고 있었는데 최대 12시간동안 어떤 활동을 해도 샘 걱정없이 착용이 가능하고 라텍스 프리, BPA-프리, 플라스틱제로, 화학프리, 무색, 100% healthcare-grade 실리콘으로 제작하여 안심하고 사용중이랍니다.","[0, 0, 1, 0, 0]"
#레고60174숲속경찰본부 구입해 왔는데 20% 할인 행사도 진행중이라 완전 저렴하게 구입한 거 있죠,"[0, 0, 0, 1, 0]"
역시 #올리브영 1위 #마스크팩 답게 에센스 듬뿍~,"[0, 0, 1, 0, 0]"
#벤타 제품은 워낙 좋다고 입소문이 난 터라 믿고 사용하는데 역시 직접 사용해 보니 더욱더 만족스럽네요♡♡,"[0, 0, 1, 0, 0]"
에어워셔 사용 중 가장 불편했던게 세척부분이었는데 벤타에어워셔는 원터치 클리닝 시스템이라 세척도 간편하고 자연기화가습 방식으로 안전하게 사용할 수 있어 너무 좋네요,"[1, 0, 0, 0, 0]"
세상에서 가장 예쁜 사과 #케어퓨 마스크팩 #금사과팩 으로요,"[0, 1, 0, 0, 0]"
동그란구형의 Easy Hands Free 용기 로 되어 있어 얼굴 곳곳 고르게 바를수 있어요~,"[1, 0, 0, 0, 0]"
손에 묻히지 않아도 되고 자외선차단 톤업까지 챙기자구요~,"[1, 0, 0, 0, 0]"
전세계45개국의 여성들에게 사랑받고 있는 미국판매1위,"[0, 0, 1, 0, 0]"
간편하게 #올인원크림 으로 관리하는 여자,"[1, 0, 0, 0, 0]"
간편하게 짜서 쓰는거라 편해요,"[1, 0, 0, 0, 0]"
"갈라지는 발, 윤기없는몸, 푸석한 머릿결 머리부터 발끝까지 사용가능!","[1, 0, 0, 0, 0]"
실키세럼3종 오일의 무게감도 다르고 향도 다 달라요~,"[0, 0, 0, 0, 1]"
피부에따라 골라쓰기 좋은 #마스크팩,"[0, 0, 0, 0, 1]"
현재 와디즈펀딩에서 혜택 1개가격에 3개 득템! 오호 ~,"[0, 0, 0, 1, 0]"
꺄~ 완전 귀여워,"[0, 1, 0, 0, 0]"
내가좋아하는 휴대가 편리한 컴팩트한 사이즈,"[1, 0, 0, 0, 0]"
간단하죠?^^,"[1, 0, 0, 0, 0]"
LED조명으로 차안에서도 밤에도 메이크업하기 수정하기 편하네요,"[1, 0, 0, 0, 0]"
듀얼쿠션으로 하나만 가지고 다니면 되지요,"[1, 0, 0, 0, 0]"
가방에 쏘옥 넣어 챙겨다니기에도 굿굿 좋지요,"[1, 0, 0, 0, 0]"
#1일1팩 어렵지 않아요,"[1, 0, 0, 0, 0]"
셀럽 &name&씨도 애정한다는 #달바,"[0, 0, 1, 0, 0]"
가방에 넣고 다니며 필요할때 여행갈때 챙겨가서 뿌려주기 좋아요~🤩,"[1, 0, 0, 0, 0]"
타이트한 옷을 입을때 옷 핏 잡아주고 미니스커트 착용히 속바지 대용 으로 입을수 있어 굿굿!,"[1, 0, 0, 0, 0]"
얼굴은 물론 바디까지~,"[1, 0, 0, 0, 0]"
깊은 보습감에 피부진정 미백까지 하나로 관리가 되니 간편하구만~,"[1, 0, 0, 0, 0]"
3개월부터 5살까지 사용할수있는 가성비 갑 범보의자에요,"[0, 0, 0, 1, 0]"
"어디서나 의자, 식탁의자에 장착이 가능해서 좋아요","[1, 0, 0, 0, 0]"
별도의 식탁의자 구매 필요없이 사용 가능하니 가성비 또한 최고에요👍🏻,"[0, 0, 0, 1, 0]"
귀여운 병아리 모양이라 넘나 좋아하네요,"[0, 1, 0, 0, 0]"
핑크퐁 캐릭터 패키지로 아이들이 먼저 손 씻고 싶게 하는 핑크퐁 핸드워시 발견😍😍,"[0, 1, 0, 0, 0]"
넘나귀엽구요,"[0, 1, 0, 0, 0]"
디자인도 북유럽풍에 군더더기없어요~,"[0, 1, 0, 0, 0]"
사용하기 간편한 튜브타입 #선베이스,"[1, 0, 0, 0, 0]"
"매일 팩하는 것도 미루는 왕 귀차니즘의 저도! 프라엘은 간편하고, 또 효과가 눈에 보이니 매일 하게 되더라고요!","[1, 0, 0, 0, 0]"
지베르니 파데 넘넘 유명하자나요💕,"[0, 0, 1, 0, 0]"
편하고 빨라서 좋습니당,"[1, 0, 0, 0, 0]"
멋스러운 디자인과 전자파 차단기능까지ㅋㅋㅋ,"[0, 1, 0, 0, 0]"
스프레이 타입으로 건조한 곳! 어디든 슉슉 ~~ 뿌려주기만 하니 너무 편함👍,"[1, 0, 0, 0, 0]"
"#눅스 #리치오일 쓴 뒤로는 아침에 이것저것 바르지 않고, 미스트 슉슉 뿌려준 뒤 눅스 발라주고 있어요💕","[1, 0, 0, 0, 0]"
블링블링 고급진 골드빛 케이스,"[0, 1, 0, 0, 0]"
출시하자마자 완전 핫하죠,"[0, 0, 1, 0, 0]"
유명템은 이유가 있네요 ♥️,"[0, 0, 1, 0, 0]"
골드체인이 달린 악세사리 같은 #탬버린즈 #누드에이치앤드크림 ♥️,"[0, 1, 0, 0, 0]"
존슨즈하면 떠오르는 베이비 파우더 향의 #핑크로션 과 연보라색 #베드타임로션 파스텔톤의 NEW #존슨즈 패키지가 예쁘더라고요~,"[0, 1, 0, 0, 0]"
워낙 유명한 브랜드^^,"[0, 0, 1, 0, 0]"
유명한 건 이유가 다 있는 법!,"[0, 0, 1, 0, 0]"
화사하니 집안 분위기가 사네?!,"[0, 1, 0, 0, 0]"
가격 부담도 없어서 선물하기에도 좋은 #아미솝비누 ^^,"[0, 0, 0, 1, 0]"
"이름은 `마타도어 포켓블랭킷 오션` 이지만 블랭킷뿐 아니라 돗자리, 캠핑매트, 우의, 덮게, 담요 등 다양하게 활용할 수 있는 요긴한 제품인데요~!","[0, 0, 0, 0, 1]"
"거기에 이 바다 디자인은 바다갈 때, 나들이갈 때 가지고 가기 넘나 사랑스러운 비쥬얼이에요 >_<","[0, 1, 0, 0, 0]"
무게가 무려 108g밖에 되지 않고 크기는 스마트폰 사이즈만하니 평소에도 가지고 다니기 딱이죠?!,"[1, 0, 0, 0, 0]"
특히 sns 하는 분들에게 요론 거 하나 있으면 사진두 기가막히게 나와유~~,"[0, 1, 0, 0, 0]"
그래서 저도 편하게 사진찍고 싶어서 들인 #삼각대 #비소 BS-304 + 리코콘,"[1, 0, 0, 0, 0]"
#스마트폰삼각대 중에 국민삼각대 라 불리는 유명한 삼각대랍니다!,"[0, 0, 1, 0, 0]"
손톱 사이즈에 맞춰 선택 후 버퍼로 긁으면 샤샤샥 붙는 5분 네일아트♥,"[1, 0, 0, 0, 0]"
"블랙을 좋아하는 내가 선택한 디자인,","[0, 1, 0, 0, 0]"
여러가지 바를 필요없이 이거 하나면 OK,"[1, 0, 0, 0, 0]"
올인원이라 편해요,"[1, 0, 0, 0, 0]"
디즈니쿠션팩트 완전 귀엽다...☺,"[0, 1, 0, 0, 0]"
그 유명하다는 아이로션계의 sk2,"[0, 0, 1, 0, 0]"
#예쁘다 💎,"[0, 1, 0, 0, 0]"
마미가 물로 데려마시는 우슬초 뿌리 세척도 간편해서 만족하시는 😍,"[1, 0, 0, 0, 0]"
휴대하기 딱 좋은 사이즈라 지갑에 쏙!,"[1, 0, 0, 0, 0]"
아침에 하나 뽑아서 #only 60초 투자!,"[1, 0, 0, 0, 0]"
"욕실, 다용도실,발코니 등 다양한곳에서 사용가능하니👍","[1, 0, 0, 0, 0]"
처음엔 반신반의하며 이게 효과있나?했는데 허리와 목의 부담을 감소해줘서 넘 편해요,"[1, 0, 0, 0, 0]"
출시 3개월만에 10만개 이상 판매된 핫한 제품 !,"[0, 0, 1, 0, 0]"
1+1 감사 이벤트 한다니 지금이 구매찬스,"[0, 0, 0, 1, 0]"
거뭇거뭇 내 피부를 위해 완죤 핫한 블랙아웃 미백크림 사용중!!,"[0, 0, 1, 0, 0]"
거뭇거뭇 한 내 피부를 위해 사용중인 #겟잇뷰티&name&미백크림 으로 핫한 #블랙샷프리미엄 #미백크림,"[0, 0, 1, 0, 0]"
"촉촉하고 끈적이지 않아 피부에 쏘옥~ 잘 펴발라지고,, 얼굴뿐 아니라 바디에도 바를 수있어 실용성도 좋쟈나~~","[1, 0, 0, 0, 0]"
날이 많이 좋아져서 선물 받았던 우리 #아기이불 #리틀유니콘 #퀼트블랭킷 꺼내서 #낮잠이불 로 덮어 주었더니 세상 너무 편해 보이고 너무 예쁘다능!!,"[1, 1, 0, 0, 0]"
스틱형이라 사용도편하고 오래쓸수있어 슈퍼그뤠잇~👍,"[1, 0, 0, 0, 0]"
"밀착감이 좋아 몸매를 잡아줄 뿐 아니라 물속에서 편하게 움직일 수 있고 수경, 수모, 여성, 남성, 아동 수영복, 래쉬가드 가 있어 원하는 종류 선택의 폭이 넓어 좋다능!!","[1, 0, 0, 0, 1]"
#민감피부 인 저도 유기농순면커버로 자극이 없어서 불편함이 줄었어요,"[1, 0, 0, 0, 0]"
청바지에 잘어울리는 발이편한 #언코리 #스니커즈!!,"[1, 1, 0, 0, 0]"
뚜껑은 버튼을 눌러 원터치로 열수있어 편하고 스쿠알란함유로 더욱 촉촉하고 보습과 진정효과가 좋은 크림!!,"[1, 0, 0, 0, 0]"
